basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
102f0,21,0,8,0,0,0,1,0,0,3,13,4,0,0,1,82,21.01219512195122
10334,4,0,1,0,0,0,1,0,0,0,2,1,0,0,1,6940,24.680835734870318
10344,5,0,2,0,0,0,1,0,0,0,3,1,0,0,1,58514,23.496223126089482
10348,4,0,1,0,0,0,1,0,0,0,2,1,0,0,1,7022,45.14098547422387
10358,5,1,2,0,0,0,0,1,0,0,5,0,0,0,0,2,61.5
1036c,9,2,4,0,0,0,1,0,0,0,5,3,0,0,1,1,131.0
10390,7,2,3,0,0,0,0,1,0,0,6,1,0,0,0,1,132.0
103ac,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,131.0
103c4,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,103.0
103dc,9,2,3,0,0,0,1,0,0,0,3,5,0,0,1,2,61.5
10400,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,169.0
10404,10,0,4,0,0,1,0,0,0,0,7,2,0,1,0,2,167.0
10418,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,2,171.5
1042c,6,2,2,0,0,0,0,1,0,0,6,0,0,0,0,2,171.5
10444,7,2,4,0,0,0,0,1,0,0,6,1,0,0,0,1,103.0
10460,17,2,9,1,0,0,0,1,0,1,13,2,1,0,0,1,103.0
107c0,5,2,2,0,0,0,1,0,0,0,2,2,0,0,1,1,139.0
107d4,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,103.0
107dc,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,138.0
107e0,5,0,2,0,0,0,1,0,0,0,3,1,0,0,1,1,103.0
107f4,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,103.0
107fc,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,138.0
10808,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,137.0
10818,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,130.0
10898,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,135.0
108b0,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,131.0
108bc,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,139.0
108c0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,102.0
1094c,12,4,4,0,0,1,0,0,0,1,4,4,2,1,0,1,20.0
10998,7,0,3,0,0,1,0,0,0,1,3,0,2,1,0,1,57.0
109b4,6,0,4,0,1,0,0,1,0,0,6,0,0,0,0,1,55.0
109bc,4,0,2,0,1,0,0,1,0,0,4,0,0,0,0,1,20.0
109cc,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,48.5
109d0,6,4,1,0,0,0,0,1,0,0,6,0,0,0,0,1,132.0
109e8,3,0,2,0,0,1,0,0,0,0,2,0,0,1,0,4,78.5
109f4,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,59.0
109fc,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,55.0
10a00,7,0,2,2,0,1,0,0,0,1,3,2,0,1,0,1,52.0
10a0c,4,0,1,0,0,1,0,0,0,0,1,2,0,1,0,9,23.88888888888889
10a1c,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,57.0
10a24,5,0,2,0,0,0,0,1,0,2,2,0,1,0,0,4,74.5
10a54,9,0,0,0,0,0,0,1,0,0,1,8,0,0,0,5,69.6
10a98,5,0,2,0,1,0,0,1,0,1,3,0,1,0,0,1,55.0
10aac,5,0,4,0,0,1,0,0,0,2,2,0,0,1,0,1,20.0
