basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
12208,19,0,11,0,0,0,1,0,0,4,10,0,4,0,1,444,91.35810810810811
12254,9,2,5,0,0,0,0,1,0,1,7,0,1,0,0,444,42.77252252252252
12278,7,2,4,0,0,0,0,1,0,0,6,1,0,0,0,1,132.0
12294,9,2,4,0,0,0,1,0,0,0,5,3,0,0,1,1,104.0
122b8,7,2,3,0,0,0,0,1,0,0,6,1,0,0,0,1,131.0
122d4,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,130.0
122ec,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,102.0
12304,8,2,3,0,0,0,1,0,0,0,3,4,0,0,1,2,209.5
12324,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,111,20.756756756756758
12330,5,0,1,0,0,0,1,0,0,0,1,3,0,0,1,111,47.207207207207205
12344,13,0,6,0,0,0,1,0,0,1,9,0,2,0,1,444,57.950450450450454
12378,14,0,8,0,0,1,0,0,0,1,10,2,0,1,0,444,42.567567567567565
123a0,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,111,20.756756756756758
123b0,8,0,3,0,0,1,0,0,0,0,6,1,0,1,0,111,44.77477477477478
123bc,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,2,211.0
123d0,7,2,3,0,0,0,0,1,0,0,7,0,0,0,0,2,188.0
123ec,16,2,9,1,0,0,0,1,0,1,13,2,0,0,0,1,102.0
12748,5,2,2,0,0,0,1,0,0,0,2,2,0,0,1,1,139.0
1275c,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,132.0
12764,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,137.0
12768,5,0,2,0,0,0,1,0,0,0,3,1,0,0,1,1,102.0
1277c,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,102.0
12784,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,137.0
12790,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3391.0
127a0,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,138.0
12820,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,138.0
12838,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,103.0
12844,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,138.0
12848,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,130.0
128d4,12,4,4,0,0,1,0,0,0,1,4,4,2,1,0,1,55.0
12920,7,0,3,0,0,1,0,0,0,1,3,0,2,1,0,1,20.0
1293c,6,0,4,0,1,0,0,1,0,0,6,0,0,0,0,1,57.0
12944,4,0,2,0,1,0,0,1,0,0,4,0,0,0,0,1,55.0
12954,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,20.0
12958,6,4,1,0,0,0,0,1,0,0,6,0,0,0,0,1,20.0
12970,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,444,42.27252252252252
129a4,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,444,44.195945945945944
129ac,3,0,2,0,0,0,1,0,0,1,1,0,0,0,1,444,68.6036036036036
129b8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,333,187.87987987987987
129bc,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,777,68.84555984555985
129d0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,444,89.06531531531532
129e8,3,0,2,0,0,1,0,0,0,0,2,0,0,1,0,4,79.25
129f4,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,59.0
129fc,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,20.0
12a00,7,0,2,2,0,1,0,0,0,1,3,2,0,1,0,1,57.0
12a0c,4,0,1,0,0,1,0,0,0,0,1,2,0,1,0,10,20.0
12a1c,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,55.0
12a20,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,57.0
12a24,5,0,2,0,0,0,0,1,0,2,2,0,1,0,0,3,59.333333333333336
12a54,9,0,0,0,0,0,0,1,0,0,1,8,0,0,0,3,58.333333333333336
12ac4,8,3,4,0,0,0,1,0,0,0,4,3,0,0,1,1,138.0
12ae4,16,7,5,0,0,1,0,0,0,0,7,7,1,1,0,1,131.0
12b24,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,132.0
12b30,11,0,3,2,0,0,1,0,0,2,4,2,2,0,1,1,138.0
12b5c,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,132.0
12b60,6,3,2,0,0,0,0,1,0,0,6,0,0,0,0,1,103.0
12b78,3,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,103.0
12b84,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,138.0
12b94,3,0,1,0,0,0,1,0,0,0,2,0,0,0,1,1,137.0
12cc4,3,0,1,1,0,1,0,0,0,0,2,0,0,1,0,556,20.151079136690647
12cd0,9,0,3,3,0,1,0,0,0,4,4,0,0,1,0,556,120.2841726618705
12cd8,7,0,2,3,0,1,0,0,0,4,2,0,0,1,0,672,74.9077380952381
12cf4,3,0,1,0,0,1,0,0,0,1,1,0,0,1,0,556,86.05395683453237
12d00,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,555,68.30630630630631
12d08,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,555,125.98558558558558
12d10,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,555,141.8918918918919
12d18,4,0,0,0,0,1,0,0,0,0,3,0,0,1,0,555,88.7081081081081
12d28,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,555,104.3891891891892
12d2c,4,0,2,0,0,0,0,1,0,2,2,0,0,0,0,333,172.6846846846847
12d64,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,139.0
12d84,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,222,35.193693693693696
14158,8,3,3,0,0,1,0,0,0,0,4,3,0,1,0,1,138.0
14178,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,102.0
14180,5,0,0,1,0,1,0,0,0,0,4,0,0,1,0,1,130.0
14194,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,102.0
141a4,6,0,2,0,0,1,0,0,0,1,2,2,0,1,0,1,137.0
141bc,5,3,1,0,0,0,0,1,0,0,5,0,0,0,0,1,138.0
141f8,3,0,1,1,0,1,0,0,0,0,2,0,0,1,0,1,137.0
14204,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,1,130.0
14210,6,0,0,1,0,1,0,0,0,0,5,0,0,1,0,1,129.0
142cc,14,10,1,0,0,1,0,0,0,0,3,10,0,1,0,1,140.0
14304,7,0,5,0,0,1,0,0,0,0,6,0,0,1,0,1,139.0
14320,3,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,140.0
14334,3,0,2,0,0,1,0,0,0,0,2,0,0,1,0,1,103.0
14340,12,10,1,0,0,0,0,1,0,0,12,0,0,0,0,1,103.0
14370,4,0,1,0,0,1,0,0,0,0,3,0,0,1,0,1,130.0
14384,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,157.0
14388,6,0,1,1,0,1,0,0,0,2,3,0,0,1,0,1,137.0
143a0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,130.0
143a4,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,131.0
143b0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,164.0
143e0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,102.0
