basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
14268,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,136.0
142e8,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,140.0
1430c,7,0,4,0,0,0,1,0,0,2,4,0,0,0,1,1,131.0
14328,3,0,2,0,0,1,0,0,0,0,2,0,0,1,0,1,130.0
14334,4,0,3,0,0,0,1,0,0,2,1,0,0,0,1,1,140.0
143b4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,103.0
143bc,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,140.0
144f8,3,0,0,2,0,1,0,0,0,0,2,0,0,1,0,2,90.0
14534,3,0,2,0,0,1,0,0,0,0,2,0,0,1,0,2,87.5
14540,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,131.0
14544,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,130.0
1454c,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,103.0
1455c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,103.0
14564,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,140.0
14568,21,0,4,9,0,1,0,0,0,8,11,0,1,1,0,1,138.0
145a0,7,0,1,4,0,1,0,0,0,4,2,0,0,1,0,5,48.2
145bc,3,0,2,0,0,1,0,0,0,0,2,0,0,1,0,6,42.666666666666664
145c8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,132.0
145cc,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,130.0
145d0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,61.0
145d4,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,89.5
145fc,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,86.5
14604,3,0,2,0,0,1,0,0,0,0,2,0,0,1,0,1,139.0
14608,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,134.0
14610,7,0,4,0,0,1,0,0,0,1,4,1,0,1,0,1,138.0
1462c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,102.0
14630,3,0,0,2,0,1,0,0,0,1,1,0,0,1,0,1,102.0
1463c,17,0,7,1,0,1,0,0,0,1,11,4,0,1,0,1,137.0
14680,4,0,1,2,0,1,0,0,0,1,2,0,0,1,0,1,138.0
14690,10,0,7,0,0,1,0,0,0,2,6,1,0,1,0,1,130.0
1469c,7,0,4,0,0,1,0,0,0,2,3,1,0,1,0,1,137.0
146b8,7,0,4,2,0,0,1,0,0,2,4,0,0,0,1,1,134.0
146e4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,102.0
146f0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,61.5
146f4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,125.5
14c70,9,3,3,0,0,0,1,0,0,0,3,4,1,0,1,2,132.0
14c94,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,61.5
14c9c,5,3,1,0,0,0,0,1,0,0,5,0,0,0,0,2,76.0
150e0,14,5,5,1,0,1,0,0,0,0,8,5,0,1,0,1,130.0
15118,14,5,5,1,0,0,1,0,0,1,10,1,1,0,1,1,130.0
151d0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,73.66666666666667
15684,12,3,6,0,0,0,1,0,0,0,6,4,1,0,1,1,137.0
156b4,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,138.0
156bc,5,3,1,0,0,0,0,1,0,0,5,0,0,0,0,1,103.0
156f0,5,0,4,0,0,0,1,0,0,0,4,0,0,0,1,1,55.0
15704,9,3,3,0,0,0,1,0,0,0,3,4,1,0,1,3,56.333333333333336
15728,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,3,47.666666666666664
15730,5,3,1,0,0,0,0,1,0,0,5,0,0,0,0,3,72.66666666666667
15764,6,4,1,0,0,1,0,0,0,0,1,4,0,1,0,3,56.666666666666664
1577c,3,0,2,0,0,1,0,0,0,0,2,0,0,1,0,3,47.333333333333336
15788,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,73.66666666666667
15790,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,73.0
157b8,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,3,47.333333333333336
157c4,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,3,47.333333333333336
157d0,3,0,1,0,1,0,0,1,0,0,3,0,0,0,0,3,74.0
157dc,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,74.0
157e0,3,0,0,1,0,1,0,0,0,0,2,0,0,1,0,3,77.0
157ec,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,47.666666666666664
15808,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,74.33333333333333
1581c,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,65.0
15820,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,65.33333333333333
15828,7,4,2,0,0,0,0,1,0,0,7,0,0,0,0,3,71.33333333333333
15864,3,0,1,0,0,0,1,0,0,0,2,0,0,0,1,1,130.0
15870,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,102.0
15880,11,3,5,0,0,0,1,0,0,0,5,4,1,0,1,1,139.0
158ac,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,132.0
158b4,5,3,1,0,0,0,0,1,0,0,5,0,0,0,0,1,103.0
158e8,9,3,3,0,0,0,1,0,0,0,3,4,1,0,1,1,135.0
1590c,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,131.0
15914,5,3,1,0,0,0,0,1,0,0,5,0,0,0,0,1,103.0
15b68,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,55.0
15b74,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1,59.0
